person_id,first_name,last_name,theme_name,classification,group_code,country
257012,Estrella,Galán,AgainstReturnHubs,supports,GUE_NGL,ESP
256860,András,László,CriticizesBorderFence,supports,PFE,HUN
197402,Tomas,Tobé,BorderSecurity,supports,EPP,SWE
123562,Charlie,Weimers,BorderSecurity,supports,ECR,SWE
124760,Nicolas,Bay,BorderControlSchengen,supports,ID,FRA
197402,Tomas,Tobé,StrictBorderControl,supports,EPP,SWE
95074,Jeroen,Lenaers,StrictBorderControl,supports,EPP,NLD
197469,Assita,Kanko,ImmigrationCriminalityLink,supports,ECR,BEL
123562,Charlie,Weimers,AntiIllegalMigration,supports,ECR,SWE
256990,Anna,Strolenberg,ImmigrationCriminalityLink,supports,GREEN_EFA,NLD
256900,Fernand,Kartheiser,ImmigrationCriminalityLink,supports,ECR,LUX
197402,Tomas,Tobé,CallsForDeportations,supports,EPP,SWE
197402,Tomas,Tobé,StrictAsylumPolicy,supports,EPP,SWE
197820,Nicola,Procaccini,CallsForDeportations,supports,ECR,ITA
135511,Valérie,Hayer,CallsForDeportations,supports,RENEW,FRA
95074,Jeroen,Lenaers,ProExternalization,supports,EPP,NLD
192254,Marieke,Ehlers,CallsForDeportations,supports,PFE,NLD
124877,Jadwiga,Wiśniewska,CallsForDeportations,supports,ECR,POL
257007,Erik,Kaliňák,ProExternalization,supports,NI,SVK
257101,Cecilia,Strada,ProExternalization,supports,SD,ITA
197711,Dolors,Montserrat,ProExternalization,supports,EPP,ESP
123562,Charlie,Weimers,CallsForDeportations,supports,ECR,SWE
123562,Charlie,Weimers,ProExternalization,supports,ECR,SWE
123562,Charlie,Weimers,StrictAsylumPolicy,supports,ECR,SWE
197842,Elena,Yoncheva,StrictAsylumPolicy,supports,SD,BGR
86057,Bartłomiej,Sienkiewicz,ProExternalization,supports,EPP,POL
257116,Georgiana,Teodorescu,CallsForDeportations,supports,ECR,ROU
257116,Georgiana,Teodorescu,ProExternalization,supports,ECR,ROU
220840,Jaroslav,Bžoch,ProExternalization,supports,PFE,CZE
257072,Tomasz,Buczek,CallsForDeportations,supports,NI,POL
220897,Petra,Steger,StrictAsylumPolicy,supports,PFE,AUT
220908,Branko,Grims,ProExternalization,supports,EPP,SVN
256965,Kai,Tegethoff,ProExternalization,supports,GREEN_EFA,DEU
257260,Petar,Volgin,TemporaryAsylumReturns,supports,ESN,BGR
22858,Fabienne,Keller,DefendsIntegration,supports,RENEW,FRA
197842,Elena,Yoncheva,DefendsIntegration,supports,SD,BGR
220840,Jaroslav,Bžoch,SolidarityAndBurdenSharing,supports,PFE,CZE
257072,Tomasz,Buczek,DefendsIntegration,supports,NI,POL
220897,Petra,Steger,SolidarityAndBurdenSharing,supports,PFE,AUT
256900,Fernand,Kartheiser,DefendsIntegration,supports,ECR,LUX
197624,Ivars,Ijabs,CooperationWithThirdCountries,supports,RENEW,LVA
257260,Petar,Volgin,SolidarityAndBurdenSharing,supports,ESN,BGR
